Main Category,Sub Category,2018 Onward ACS/PRCS,Occupation title
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Architecture and Engineering Occupations:,171011,"Architects, Except Landscape And Naval"
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Architecture and Engineering Occupations:,171012,Landscape Architects
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Architecture and Engineering Occupations:,171020,"Surveyors, Cartographers, and Photogrammetrists"
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Architecture and Engineering Occupations:,172011,Aerospace Engineers
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Architecture and Engineering Occupations:,1720XX,Biomedical and Agricultural Engineers
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Architecture and Engineering Occupations:,172041,Chemical Engineers
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Architecture and Engineering Occupations:,172051,Civil Engineers
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Architecture and Engineering Occupations:,172061,Computer Hardware Engineers
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Architecture and Engineering Occupations:,172070,Electrical and Electronics Engineers
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Architecture and Engineering Occupations:,172081,Environmental Engineers
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Architecture and Engineering Occupations:,172110,"Industrial Engineers, including Health and Safety"
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Architecture and Engineering Occupations:,172121,Marine Engineers and Naval Architects
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Architecture and Engineering Occupations:,172131,Materials Engineers
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Architecture and Engineering Occupations:,172141,Mechanical Engineers
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Architecture and Engineering Occupations:,1721XX,"Petroleum, mining and geological engineers, including mining safety engineers"
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Architecture and Engineering Occupations:,1721YY,Other Engineers
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Architecture and Engineering Occupations:,173011,Architectural and Civil Drafters
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Architecture and Engineering Occupations:,17301X,Other Drafters
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Architecture and Engineering Occupations:,173023,Electrical and Electronic Engineering Technologists And Technicians
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Architecture and Engineering Occupations:,17302X,"Other Engineering Technologists And Technicians, Except Drafters"
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Architecture and Engineering Occupations:,173031,Surveying and Mapping Technicians
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:","Life, Physical, and Social Science Occupations:",191010,Agricultural and Food Scientists
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:","Life, Physical, and Social Science Occupations:",191020,Biological Scientists
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:","Life, Physical, and Social Science Occupations:",191030,Conservation Scientists and Foresters
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:","Life, Physical, and Social Science Occupations:",1910XX,Other life scientists
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:","Life, Physical, and Social Science Occupations:",192010,Astronomers and Physicists
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:","Life, Physical, and Social Science Occupations:",192021,Atmospheric and Space Scientists
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:","Life, Physical, and Social Science Occupations:",192030,Chemists and Materials Scientists
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:","Life, Physical, and Social Science Occupations:",192041,"Environmental Scientists And Specialists, Including Health"
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:","Life, Physical, and Social Science Occupations:",19204X,"Geoscientists And Hydrologists, Except Geographers"
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:","Life, Physical, and Social Science Occupations:",192099,"Physical Scientists, All Other"
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:","Life, Physical, and Social Science Occupations:",193011,Economists
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:","Life, Physical, and Social Science Occupations:",193033,Clinical And Counseling Psychologists
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:","Life, Physical, and Social Science Occupations:",193034,School Psychologists
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:","Life, Physical, and Social Science Occupations:",19303X,Other Psychologists
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:","Life, Physical, and Social Science Occupations:",193051,Urban and Regional Planners
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:","Life, Physical, and Social Science Occupations:",1930XX,Other Social Scientists
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:","Life, Physical, and Social Science Occupations:",194010,Agricultural and Food Science Technicians
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:","Life, Physical, and Social Science Occupations:",194021,Biological Technicians
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:","Life, Physical, and Social Science Occupations:",194031,Chemical Technicians
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:","Life, Physical, and Social Science Occupations:",1940XX,"Environmental Science And Geoscience Technicians, And Nuclear Technicians"
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:","Life, Physical, and Social Science Occupations:",1940YY,"Other Life, Physical, And Social Science Technicians"
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:","Life, Physical, and Social Science Occupations:",195010,Occupational Health And Safety Specialists And Technicians
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Community and Social Service Occupations:,211011,Substance Abuse And Behavioral Disorder Counselors
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Community and Social Service Occupations:,211012,"Educational, Guidance, And Career Counselors And Advisors"
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Community and Social Service Occupations:,211013,Marriage And Family Therapists
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Community and Social Service Occupations:,211014,Mental Health Counselors
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Community and Social Service Occupations:,211015,Rehabilitation Counselors
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Community and Social Service Occupations:,211019,"Counselors, All Other"
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Community and Social Service Occupations:,211021,"Child, Family, And School Social Workers"
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Community and Social Service Occupations:,211022,Healthcare Social Workers
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Community and Social Service Occupations:,211023,Mental Health And Substance Abuse Social Workers
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Community and Social Service Occupations:,211029,Social Workers All Other
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Community and Social Service Occupations:,211092,Probation Officers and Correctional Treatment Specialists
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Community and Social Service Occupations:,211093,Social and Human Service Assistants
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Community and Social Service Occupations:,21109X,Other Community And Social Service Specialists
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Community and Social Service Occupations:,212011,Clergy
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Community and Social Service Occupations:,212021,"Directors, Religious Activities and Education"
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Community and Social Service Occupations:,212099,"Religious Workers, All Other"
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Legal Occupations:,2310XX,"Lawyers, and judges, magistrates, and other judicial workers"
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Legal Occupations:,231012,Judicial Law Clerks
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Legal Occupations:,232011,Paralegals and Legal Assistants
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Legal Occupations:,232093,"Title Examiners, Abstractors, And Searchers"
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Legal Occupations:,232099,"Legal Support Workers, All Other"
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Education Instruction and Library Occupations:,251000,Postsecondary Teachers
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Education Instruction and Library Occupations:,252010,Preschool and Kindergarten Teachers
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Education Instruction and Library Occupations:,252020,Elementary and Middle School Teachers
