Main Category,Sub Category,2018 Onward ACS/PRCS,Occupation title
"NATURAL RESOURCES, CONSTRUCTION, AND MAINTENANCE OCCUPATIONS:","Installation, Maintenance, and Repair Occupations:",493021,Automotive Body and Related Repairers
"NATURAL RESOURCES, CONSTRUCTION, AND MAINTENANCE OCCUPATIONS:","Installation, Maintenance, and Repair Occupations:",493022,Automotive Glass Installers and Repairers
"NATURAL RESOURCES, CONSTRUCTION, AND MAINTENANCE OCCUPATIONS:","Installation, Maintenance, and Repair Occupations:",493023,Automotive Service Technicians and Mechanics
"NATURAL RESOURCES, CONSTRUCTION, AND MAINTENANCE OCCUPATIONS:","Installation, Maintenance, and Repair Occupations:",493031,Bus and Truck Mechanics and Diesel Engine Specialists
"NATURAL RESOURCES, CONSTRUCTION, AND MAINTENANCE OCCUPATIONS:","Installation, Maintenance, and Repair Occupations:",493040,Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics
"NATURAL RESOURCES, CONSTRUCTION, AND MAINTENANCE OCCUPATIONS:","Installation, Maintenance, and Repair Occupations:",493050,Small Engine Mechanics
"NATURAL RESOURCES, CONSTRUCTION, AND MAINTENANCE OCCUPATIONS:","Installation, Maintenance, and Repair Occupations:",493090,"Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairers"
"NATURAL RESOURCES, CONSTRUCTION, AND MAINTENANCE OCCUPATIONS:","Installation, Maintenance, and Repair Occupations:",499010,Control and Valve Installers and Repairers
"NATURAL RESOURCES, CONSTRUCTION, AND MAINTENANCE OCCUPATIONS:","Installation, Maintenance, and Repair Occupations:",499021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
"NATURAL RESOURCES, CONSTRUCTION, AND MAINTENANCE OCCUPATIONS:","Installation, Maintenance, and Repair Occupations:",499031,Home Appliance Repairers
"NATURAL RESOURCES, CONSTRUCTION, AND MAINTENANCE OCCUPATIONS:","Installation, Maintenance, and Repair Occupations:",49904X,Industrial and Refractory Machinery Mechanic
"NATURAL RESOURCES, CONSTRUCTION, AND MAINTENANCE OCCUPATIONS:","Installation, Maintenance, and Repair Occupations:",499071,"Maintenance and Repair Workers, General"
"NATURAL RESOURCES, CONSTRUCTION, AND MAINTENANCE OCCUPATIONS:","Installation, Maintenance, and Repair Occupations:",499043,"Maintenance Workers, Machinery"
"NATURAL RESOURCES, CONSTRUCTION, AND MAINTENANCE OCCUPATIONS:","Installation, Maintenance, and Repair Occupations:",499044,Millwrights
"NATURAL RESOURCES, CONSTRUCTION, AND MAINTENANCE OCCUPATIONS:","Installation, Maintenance, and Repair Occupations:",499051,Electrical Power-Line Installers and Repairers
"NATURAL RESOURCES, CONSTRUCTION, AND MAINTENANCE OCCUPATIONS:","Installation, Maintenance, and Repair Occupations:",499052,Telecommunications Line Installers and Repairers
"NATURAL RESOURCES, CONSTRUCTION, AND MAINTENANCE OCCUPATIONS:","Installation, Maintenance, and Repair Occupations:",499060,Precision Instrument and Equipment Repairers
"NATURAL RESOURCES, CONSTRUCTION, AND MAINTENANCE OCCUPATIONS:","Installation, Maintenance, and Repair Occupations:",499091,"Coin, Vending, and Amusement Machine Servicers and Repairers"
"NATURAL RESOURCES, CONSTRUCTION, AND MAINTENANCE OCCUPATIONS:","Installation, Maintenance, and Repair Occupations:",499094,Locksmiths and Safe Repairers
"NATURAL RESOURCES, CONSTRUCTION, AND MAINTENANCE OCCUPATIONS:","Installation, Maintenance, and Repair Occupations:",499096,Riggers
"NATURAL RESOURCES, CONSTRUCTION, AND MAINTENANCE OCCUPATIONS:","Installation, Maintenance, and Repair Occupations:",499098,"Helpers--Installation, Maintenance, and Repair Workers"
"NATURAL RESOURCES, CONSTRUCTION, AND MAINTENANCE OCCUPATIONS:","Installation, Maintenance, and Repair Occupations:",4990XX,"Other Installation, Maintenance, And Repair Workers"
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Production Occupations:,511011,First-Line Supervisors of Production and Operating Workers
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Production Occupations:,512020,"Electrical, Electronics, and Electromechanical Assemblers"
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Production Occupations:,512031,Engine and Other Machine Assemblers
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Production Occupations:,512041,Structural Metal Fabricators and Fitters
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Production Occupations:,5120XX,Other Assemblers and Fabricators
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Production Occupations:,513011,Bakers
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Production Occupations:,513020,"Butchers and Other Meat, Poultry, and Fish Processing Workers"
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Production Occupations:,513091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders"
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Production Occupations:,513092,Food Batchmakers
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Production Occupations:,513093,Food Cooking Machine Operators and Tenders
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Production Occupations:,513099,"Food Processing Workers, All Other"
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Production Occupations:,519160,Computer Numerically Controlled Tool Operators And Programmers
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Production Occupations:,514020,"Forming Machine Setters, Operators, And Tenders, Metal And Plastic"
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Production Occupations:,514031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic"
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Production Occupations:,514033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Production Occupations:,51403X,"Other Machine Tool Setters, Operators, And Tenders, Metal And Plastic"
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Production Occupations:,514041,Machinists
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Production Occupations:,514050,"Metal Furnace Operators, Tenders, Pourers, and Casters"
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Production Occupations:,5140XX,"Model Makers, Patternmakers, and Molding Machine Setters, Metal and Plastic"
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Production Occupations:,514111,Tool and Die Makers
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Production Occupations:,514120,"Welding, Soldering, and Brazing Workers"
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Production Occupations:,514XXX,Other Metal Workers And Plastic Workers
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Production Occupations:,515111,Prepress Technicians and Workers
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Production Occupations:,515112,Printing Press Operators
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Production Occupations:,515113,Print Binding and Finishing Workers
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Production Occupations:,516011,Laundry and Dry-Cleaning Workers
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Production Occupations:,516021,"Pressers, Textile, Garment, and Related Materials"
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Production Occupations:,516031,Sewing Machine Operators
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Production Occupations:,516040,Shoe and Leather Workers
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Production Occupations:,516050,"Tailors, Dressmakers, and Sewers"
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Production Occupations:,516060,"Textile Machine Setters, Operators, And Tenders"
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Production Occupations:,516093,Upholsterers
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Production Occupations:,51609X,"Other Textile, Apparel, And Furnishings Workers"
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Production Occupations:,517011,Cabinetmakers and Bench Carpenters
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Production Occupations:,517021,Furniture Finishers
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Production Occupations:,517041,"Sawing Machine Setters, Operators, and Tenders, Wood"
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Production Occupations:,517042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing"
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Production Occupations:,5170XX,Other Woodworkers
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Production Occupations:,518010,"Power Plant Operators, Distributors, and Dispatchers"
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Production Occupations:,518021,Stationary Engineers and Boiler Operators
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Production Occupations:,518031,Water and Wastewater Treatment Plant and System Operators
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Production Occupations:,518090,Miscellaneous Plant and System Operators
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Production Occupations:,519010,"Chemical Processing Machine Setters, Operators, and Tenders"
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Production Occupations:,519020,"Crushing, Grinding, Polishing, Mixing, and Blending Workers"
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Production Occupations:,519030,Cutting Workers
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Production Occupations:,519041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Production Occupations:,519051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders"
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Production Occupations:,519061,"Inspectors, Testers, Sorters, Samplers, and Weighers"
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Production Occupations:,519071,Jewelers and Precious Stone and Metal Workers
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Production Occupations:,519080,"Medical, Dental, and Ophthalmic Laboratory Technicians"
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Production Occupations:,519111,Packaging and Filling Machine Operators and Tenders
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Production Occupations:,519120,Painting Workers
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Production Occupations:,519151,Photographic Process Workers and Processing Machine Operators
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Production Occupations:,519191,Adhesive Bonding Machine Operators and Tenders
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Production Occupations:,519194,Etchers and Engravers
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Production Occupations:,519195,"Molders, Shapers, and Casters, Except Metal and Plastic"
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Production Occupations:,519196,"Paper Goods Machine Setters, Operators, and Tenders"
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Production Occupations:,519197,Tire Builders
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Production Occupations:,519198,Helpers--Production Workers
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Production Occupations:,5191XX,"Miscellaneous Production Workers, Including Equipment Operators and Tenders"
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Transportation Occupations:,531000,Supervisors of Transportation and Material Moving Workers
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Transportation Occupations:,532010,Aircraft Pilots and Flight Engineers
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Transportation Occupations:,532020,Air Traffic Controllers and Airfield Operations Specialists
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Transportation Occupations:,532031,Flight Attendants
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Transportation Occupations:,533011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians"
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Transportation Occupations:,533051,"Bus Drivers, School"
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Transportation Occupations:,533052,"Bus Drivers, Transit And Intercity"
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Transportation Occupations:,533030,Driver/Sales Workers and Truck Drivers
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Transportation Occupations:,533053,Shuttle Drivers and Chauffeurs
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Transportation Occupations:,533054,Taxi Drivers
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Transportation Occupations:,533099,"Motor Vehicle Operators, All Other"
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Transportation Occupations:,534010,Locomotive Engineers and Operators
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Transportation Occupations:,534031,Railroad Conductors and Yardmasters
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Transportation Occupations:,5340XX,Other Rail Transportation Workers
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Transportation Occupations:,5350XX,"Sailors and marine oilers, and ship engineers"
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Transportation Occupations:,535020,Ship and Boat Captains and Operators
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Transportation Occupations:,536021,Parking Lot Attendants
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Transportation Occupations:,536030,Transportation Service Attendants
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Transportation Occupations:,536051,Transportation Inspectors
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Transportation Occupations:,536061,Passenger Attendants
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Transportation Occupations:,5360XX,Other transportation workers
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Material Moving Occupations:,537021,Crane and Tower Operators
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Material Moving Occupations:,5370XX,"Conveyor, Dredge, And Hoist And Winch Operators"
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Material Moving Occupations:,537051,Industrial Truck and Tractor Operators
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Material Moving Occupations:,537061,Cleaners of Vehicles and Equipment
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Material Moving Occupations:,537062,"Laborers and Freight, Stock, and Material Movers, Hand"
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Material Moving Occupations:,537063,Machine Feeders and Offbearers
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Material Moving Occupations:,537064,"Packers and Packagers, Hand"
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Material Moving Occupations:,537065,Stockers And Order Fillers
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Material Moving Occupations:,537070,Pumping Station Operators
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Material Moving Occupations:,537081,Refuse and Recyclable Material Collectors
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Material Moving Occupations:,5371XX,Other Material Moving Workers
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Military Specific Occupations:,551010,Military Officer Special and Tactical Operations Leaders
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Military Specific Occupations:,552010,First-Line Enlisted Military Supervisors
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Military Specific Occupations:,553010,Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Military Specific Occupations:,559830,"Military, Rank Not Specified"
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",Unemployed:,999920,"Unemployed, with No Work Experience in the Last 5 Years or Earlier or Never Worked"
